trial_id,group,system,dstar_mm,dstar_tau50_mm,delta_um,zone_metric,dRdr_um_per_mm,deltaR_um,tau50_range_min,tau50_integral,tau50_fold,dtau50_dr,tau50_zone,tau50_zone_fb,tau50_zone_ex,dtau50_dr_2mm,dtau50_dr_norm,dzv_um_per_min
agar.1,Agar,Hydrogel,0.0,0.0,77.8,0.3441397926794747,7.877186825386407,18.056964238317676,0.5,19.416666666666668,1.0769230769230769,0.1011904761904762,0.03212851405622492,0.07228915662650603,0.033189902467011013,0.1666666666666667,0.014455782312925181,2.4203324612222112
agar.2,Agar,Hydrogel,0.0,0.0,92.4,0.292907833093274,6.028877012075321,13.403397675495803,0.16666666666666607,17.333333333333332,1.0294117647058822,-0.0036764705882352,-0.014285714285714235,-0.007142857142857194,0.00077731092436965,-0.025252525252525155,-0.0006347862886161644,1.1327593959372604
agar.3,Agar,Hydrogel,0.0,0.0,163.5,0.1757308988382027,4.360593951146126,8.416122970529912,0.3333333333333339,17.966666666666665,1.0526315789473686,-0.0892857142857144,-0.04385964912280715,-0.052631578947368515,-0.03518170426065154,-0.1868686868686872,-0.014097744360902283,0.0554184667970524
agar.4,Agar,Hydrogel,0.0,0.0,100.1,0.0981980177924825,3.990214849969507,3.9877089429891868,0.16666666666666696,17.566666666666663,1.0285714285714287,0.0102124183006536,-0.00952380952380949,0.0,-0.004915966386554567,-0.03535353535353542,-0.0008403361344537823,4.63230118538561
agar.5,Agar,Hydrogel,0.0,0.0,101.6,0.2829694890637769,5.838912616860783,14.11998437107271,0.5,18.133333333333333,1.0810810810810811,-0.0714285714285715,-0.04273504273504272,-0.038461538461538464,-0.02588522588522593,-0.1969696969696971,-0.011131725417439717,-0.13703190630350273
0.5to1.2,0.5:1,Hydrogel,0.5891115514271493,0.5891115514271493,337.3,0.7021516357708302,6.173038791068363,33.13413434609488,4.0,17.96666666666667,2.3333333333333335,0.4963235294117647,0.41891891891891897,0.5675675675675677,0.278604841104841,2.4107142857142856,0.09210340941110173,0.830514173727192
0.5to1.3,0.5:1,Hydrogel,0.5549277619886575,0.5549277619886575,232.3,0.6147303351406241,10.040642546061251,26.25442607780824,4.5,14.733333333333333,4.857142857142857,1.0319917440660478,0.7454545454545454,0.8909090909090908,0.5807040998217469,2.3030303030303028,0.21747587924058512,23.546104293830613
0.5to1.4,0.5:1,Hydrogel,0.3914021071370436,0.3914021071370436,236.9,0.625087396841014,6.624999147185011,23.116691332120645,3.166666666666667,12.100000000000001,3.111111111111111,0.8174019607843137,0.5094339622641509,0.7169811320754718,0.3079739442946992,1.513888888888889,0.11543367346938774,11.224344752660492
0.5to1.5,0.5:1,Hydrogel,0.43175848461232913,0.43175848461232913,247.3,0.7341646471937869,7.546179705605035,24.092598827695607,2.666666666666666,11.100000000000001,2.5999999999999996,0.8292483660130718,0.5609756097560975,0.6829268292682925,0.4498923959827833,1.2499999999999998,0.16574754901960784,56.78392315279885
0.5to1.7,0.5:1,Hydrogel,0.5873056308675739,0.5873056308675739,317.9,0.9616876826568228,16.56774289361924,35.67628624953007,3.5,10.866666666666669,3.1,0.8419117647058824,0.679245283018868,0.7735849056603774,0.5275761973875182,2.0,0.22068095838587634,37.55833356037941
1to1.1,1:1,Hydrogel,0.8681682166593419,0.8681682166593419,420.5,1.0255444453469833,12.614406214272018,36.58577446213563,4.166666666666666,11.316666666666665,7.25,1.0845588235294117,1.2432432432432434,1.256756756756757,0.9291827541827542,2.7976190476190483,0.264089121887287,
1to1.2,1:1,Hydrogel,0.6328495792777571,0.6328495792777571,286.6,0.790979337289325,7.297538729474637,17.95380729033716,3.0,9.133333333333333,4.0,0.8809523809523812,0.7380952380952381,0.8571428571428571,0.5625850340136055,1.8055555555555554,0.2202380952380953,40.193645243956276
1to1.3,1:1,Hydrogel,0.75911860464304,0.75911860464304,420.1,1.025420370014671,7.422172368275071,22.754504894764327,3.5,10.016666666666666,4.5,1.2916666666666667,1.0789473684210524,1.0789473684210524,0.8203585887796412,2.251984126984127,0.24590503835786856,35.87304558805439
1to1.4,1:1,Hydrogel,0.5911764890980812,0.5911764890980812,363.7,0.7076166035041049,5.291675759240595,12.984403553687809,3.3333333333333335,9.200000000000003,6.0,0.904761904761905,0.891891891891892,1.0135135135135138,0.6835263835263837,1.7916666666666665,0.23861852433281008,51.962348524798834
1to1.5,1:1,Hydrogel,0.7674220999907979,0.7674220999907979,462.7,1.2015042287634328,9.244185726028745,27.60467093499884,3.166666666666667,8.816666666666668,4.166666666666667,0.8601190476190478,1.0303030303030303,1.0151515151515154,0.8092241092241097,1.9543650793650795,0.2589059292355996,23.48534900580919
2to1.1,2:1,Hydrogel,1.1274418290610493,1.1274418290610493,681.1,1.4033693022020202,10.528562477605924,42.16163256219278,4.5,9.45,4.857142857142857,1.762820512820512,2.0333333333333337,1.55,1.724980574980575,3.2142857142857144,0.3849043518465006,28.27596450833485
2to1.2,2:1,Hydrogel,1.2839249142840075,1.2839249142840075,803.2,1.6540699724941987,12.503113805019007,56.63151947945539,3.9999999999999996,8.083333333333332,5.8,1.744505494505494,2.8235294117647056,2.2352941176470584,2.5508706979295215,2.9523809523809534,0.4013694638694638,10.513198565273255
2to1.3,2:1,Hydrogel,1.4665398758514014,1.4665398758514014,933.4,1.6655261664061316,8.415925638351894,38.737795851211025,2.833333333333333,6.083333333333334,4.3999999999999995,1.3344988344988344,3.0,2.208333333333333,2.9884421134421135,2.1666666666666674,0.4387393428489319,61.925535541168216
2to1.4,2:1,Hydrogel,1.3409209768014962,1.3409209768014962,872.9,1.8316379262245437,11.9107139790774,48.69268828929465,4.166666666666667,6.450000000000001,6.0,2.2474747474747474,3.4666666666666672,2.7333333333333334,3.4,3.3095238095238106,0.5288175876411171,9.681880080677661
2to1.5,2:1,Hydrogel,1.5673142638862445,1.5673142638862445,1005.4,2.0211734253231626,11.689285088821052,52.09674832375641,5.166666666666667,9.083333333333332,16.5,2.138278388278388,6.125,5.562500000000001,6.062500000000001,3.642857142857144,0.5290585702956836,6.1814792346725795
Green.1,Green,Fungi,0.46099742633268626,0.46099742633268626,279.5,0.5200638659407286,3.4707297135156105,20.31258415550447,3.333333333333333,16.81666666666667,2.6666666666666665,0.4265565875472996,0.4918032786885245,0.6475409836065572,0.25070350256870055,1.6111111111111112,0.08060911890657631,2.7673834062914358
Green.2,Green,Fungi,0.5696906834012747,0.5696906834012747,316.0,0.6538728930021959,2.6165312225306967,18.60890755814765,1.6666666666666665,10.033333333333333,2.111111111111111,0.3259373925008599,0.49999999999999994,0.588235294117647,0.318308747647666,0.9444444444444442,0.10292759763185051,23.16439063270713
Green.3,Green,Fungi,0.4059105577585076,0.4059105577585076,297.8,0.5498058256090645,3.264028217163725,13.668009025329503,2.0,10.7,2.0909090909090913,0.2806372549019608,0.34090909090909094,0.5,0.1803810160427808,0.8749999999999998,0.07653743315508021,15.375076903053843
Green.4,Green,Fungi,0.233350515235308,0.233350515235308,285.6,0.200766719434289,1.7041139822998004,8.047492075230583,2.5,11.76666666666667,2.5,0.3946078431372549,0.33333333333333337,0.625,0.23596813725490196,0.9848484848484853,0.09470588235294117,5.996046336774246
Green.5,Green,Fungi,0.39079885232374106,0.39079885232374106,311.7,0.6998871150239495,4.132104005828318,14.951821988977457,1.8333333333333333,8.516666666666666,2.571428571428571,0.3860294117647059,0.5161290322580646,0.6451612903225807,0.36361480075901337,0.9027777777777778,0.13624567474048443,84.65201264504024
white.1,White,Fungi,0.4851212359266415,0.4851212359266415,198.5,0.3790809243993807,3.5299522594991024,16.243900139735437,3.5,16.349999999999998,3.3333333333333335,0.6710526315789472,0.5925925925925926,0.7777777777777778,0.40029239766081864,1.909090909090909,0.13421052631578945,29.986045980181213
white.2,White,Fungi,0.25591788389670084,0.25591788389670084,126.2,0.6044428022404497,8.036289749863199,25.762042785640975,3.5,19.366666666666667,2.1666666666666665,0.4738562091503267,0.2675438596491227,0.506578947368421,0.16473168214654288,1.176767676767677,0.07632583234636135,7.297371836816362
white.3,White,Fungi,0.562678802928601,0.562678802928601,120.0,0.6536955126398718,4.814285532269051,23.892802841276414,4.5,21.250000000000004,2.8,0.8823529411764707,0.5833333333333334,0.6666666666666666,0.349673202614379,2.2916666666666665,0.13574660633484165,6.555817744893579
white.4,White,Fungi,0.26881083747861084,0.26881083747861084,131.6,0.4397886561138937,4.466093387836921,16.062356491842763,2.0,6.8999999999999995,2.0,0.6515151515151515,0.20833333333333337,0.5,0.22537878787878785,0.6515151515151515,0.16287878787878787,6.6036183936772455
white.5,White,Fungi,0.30000388379517867,0.30000388379517867,123.0,0.3748745338955008,4.979532260425658,12.675901381077683,1.0,16.8,1.25,0.1264189886480908,0.1,0.2,0.06217750257997938,0.3787878787878788,0.025283797729618175,4.372538487987259
black.1,Black,Fungi,0.0,0.0,125.4,0.2273056688938218,2.188339998218753,4.6832770246650846,0.0,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
black.2,Black,Fungi,0.09967820860591778,0.09967820860591778,98.0,0.2929329497966967,3.074464585230973,10.44815501408377,1.0,18.9,1.25,0.0714285714285714,0.06666666666666661,0.2,0.03857142857142861,0.27272727272727276,0.014285714285714282,1.5490503506736837
black.3,Black,Fungi,0.0,0.0,111.7,0.1857528599272825,2.204791170284351,5.893792356554044,0.5,1.15,1.2,1.25,,,,1.25,,7.585489702630611
black.4,Black,Fungi,0.2833437052912192,0.2833437052912192,135.7,0.3852461010547189,2.8401792617207353,7.070619111939372,1.333333333333333,5.1,2.5999999999999996,0.2893772893772893,0.282051282051282,0.5576923076923076,0.23918005071851203,0.44949494949494945,0.14173581520520293,
black.5,Black,Fungi,0.25811501855049396,0.25811501855049396,78.3,0.2751709629992815,3.9593669212983977,11.579808328195519,1.8333333333333335,13.35,1.8461538461538463,0.1866185070519435,0.1805555555555557,0.45833333333333337,0.11407092076596725,0.5707070707070707,0.046654626762985894,21.253495487954545
RSR1,Healthy,Leaf,,12.74755285152522,268.496,0.5144882325690132,12.25,27.45,10.725282673337325,,2.323373993923206,2.3524734451747467,0.46484607569157366,0.3474908180965422,0.46484607569157366,2.551025621285876,0.16780662538371313,
RSR2,Healthy,Leaf,,0.9784507419261541,62.153200000000005,0.9591112687060052,8.87,32.05,6.49389868934167,,2.7831718460477757,1.4837929649493664,0.6723589239267015,0.8903084205594333,0.6723589239267015,3.0041987365648017,0.15365583039709357,163.1
RSR7,Healthy,Leaf,,0.9058808855278546,787.9166,1.4856144300748733,7.49,34.51,5.7092553335089375,,2.1242621191466022,0.6773185423816904,0.384766163770837,0.40709499631247276,0.384766163770837,2.889440477457671,0.06518239959081686,15.1
RSRDiseased3,Diseased,Leaf,,2.6869611902361235,152.53,1.0289965219631585,11.0,49.76,8.573894385252828,,3.6142144506368497,1.51735410159702,0.15614827241761178,-0.6266406700527198,0.15614827241761178,-2.3782807028266286,0.31814444996348407,
RSRDiseased5,Diseased,Leaf,,3.346225500555733,403.5004,0.2611792539362232,8.17,21.92,6.439706910991873,,4.305491539372128,1.6642308007185767,1.086260554537255,0.023819816422650797,1.086260554537255,-0.06174415210321704,0.564832195555531,14.0
RSRDiseased6,Diseased,Leaf,,2.5301934700823994,909.619,1.6844897242227295,15.5,54.77,4.093427288311221,,3.8644537375480374,1.3714343610578705,2.1106220044581674,1.4617324311168958,2.1106220044581674,2.0150056406914585,0.38984225585200766,39.8
