file,genus,roi_size,alpha,r2,lap_var,tiles_pass,tiles_total
20251210_155519.JPG,Mucor,2886x305,-3.5129,0.9845,28.23,19,21
20251210_155530.JPG,Mucor,2452x480,-3.5051,0.9855,19.7,32,36
20251210_155700.JPG,Mucor,2407x488,-3.4181,0.9849,18.55,26,34
20251210_155743.JPG,Mucor,1838x521,-3.513,0.9862,2.36,35,39
20251210_155748.JPG,Mucor,3488x476,-3.3701,0.986,16.26,37,52
20251210_155753.JPG,Mucor,1829x317,-3.9758,0.9819,3.57,11,13
20251210_155801.JPG,Mucor,2004x476,-3.1806,0.9857,13.59,21,28
20251210_155811.JPG,Mucor,1805x431,-3.4072,0.9856,2.12,21,26
20251210_155819.JPG,Mucor,2013x639,-3.6127,0.9819,31.32,35,42
20251210_155850.JPG,Mucor,1240x492,,,1.43,0,16
20251210_155926.JPG,Mucor,1891x1000,-3.0994,0.9817,1.6,41,78
20251214_221838.JPG,Aspergillus,3183x1701,-3.2427,0.9481,9.68,248,276
20251214_221853.JPG,Aspergillus,2427x1737,-3.1965,0.9478,9.73,183,204
20251214_221920.JPG,Aspergillus,4940x951,-3.1662,0.9398,10.02,199,222
20251214_221942.JPG,Aspergillus,3191x842,-3.3253,0.9585,11.54,103,115
20251214_222017.JPG,Aspergillus,6086x733,-3.31,0.9438,11.0,165,184
20251214_222031.JPG,Aspergillus,2045x801,-3.2908,0.9415,11.65,63,70
20251214_222052.JPG,Aspergillus,2448x1033,-3.1812,0.9341,11.22,113,126
20251214_222121.JPG,Aspergillus,4000x822,-3.1637,0.9382,9.94,135,150
20251214_222146.JPG,Aspergillus,4680x749,-3.2988,0.9459,10.89,126,140
20251214_222205.JPG,Aspergillus,6578x638,-3.2396,0.9407,10.91,135,150
20251214_222452.JPG,Aspergillus,3322x1668,-3.2203,0.9503,9.59,259,288
20251214_222530.JPG,Aspergillus,3318x1302,-2.9976,0.92,10.56,194,216
20251214_222552.JPG,Aspergillus,2220x1521,-3.2353,0.947,10.24,144,160
