metric,cohens_d,ci_lo,ci_hi,p_value,scale,category
FFT α (colony),2.204889514218013,1.078913466361036,3.3308655620749903,0.012880365971173955,Colony surface,Spectral
FFT α (3D macro),1.40520223519761,0.4862131427098014,2.3241913276854183,0.012230106538277566,3D macro,Spectral
N components (3D),1.6481672285800533,0.7196634120252603,2.5766710451348462,0.0004761014742686668,3D macro,Morphology
Tissue fraction (3D),1.915938714298114,0.9471778469906086,2.884699581605619,0.00045680629313151307,3D macro,Morphology
Mean gap width (3D),-0.9704423743410037,-1.8190233402375267,-0.12186140844448068,0.054053852252459136,3D macro,Pore/Gap
Mean component area (3D),1.6705627871401953,0.7388613428798717,2.602264231400519,0.0003925223198486523,3D macro,Morphology
Mean lacunarity (3D),-1.7359516042649734,-2.677171125280103,-0.7947320832498437,0.0021571049904637895,3D macro,Spatial
Lacunarity (max scale) (3D),-1.921293635520916,-2.890902880877675,-0.9516843901641571,0.0010533732315599524,3D macro,Spatial
Fractal dimension (3D),1.0172764838941006,0.16431697231332054,1.8702359954748808,0.035215853689432114,3D macro,Spatial
Hessian fg fraction,-2.4755275123232194,-4.272353377366805,-0.6787016472796332,0.02231330588920466,Light Microscopy,Network
network fiber area fraction (LM),7.7168,3.891967619470616,11.541632380529384,0.0052364854398135,Light Microscopy,Network
local density p90 minus p10 (LM),6.2037,3.020278490104345,9.387121509895657,2.564868432425567e-05,Light Microscopy,Spatial
local density std (LM),4.6128,2.0708038726374354,7.154796127362564,8.795800171215062e-05,Light Microscopy,Spatial
local density cv (LM),3.1199,1.1203857659571066,5.119414234042893,0.0007005976318783,Light Microscopy,Spatial
foreground darkness contrast (LM),2.4901,0.6889819628824978,4.291218037117503,0.0040082612601367,Light Microscopy,Spatial
