trial_id,group,delta_um,beta_total,beta_adj,n,n_events
agar.1,Agar,77.8,0.011706252667268298,-0.018460165633964916,532,532
agar.2,Agar,92.4,-0.003677210054327304,-0.017663869517126583,629,628
agar.3,Agar,163.5,-0.021522375592612306,-0.03234853539473549,418,416
agar.4,Agar,100.1,0.005426818413658115,-0.023355805509168385,926,908
agar.5,Agar,101.6,-0.023746523106457838,-0.036201839405284264,524,520
0.5to1.2,0.5:1,337.3,0.10161512232254731,0.07240147928382305,337,334
0.5to1.3,0.5:1,232.3,0.22642087958556933,0.11223727715676901,552,550
0.5to1.4,0.5:1,236.9,0.15047474862494925,0.04779880594218144,614,613
0.5to1.5,0.5:1,247.3,0.1867460463278259,0.08276660501702231,762,758
1to1.1,1:1,420.5,0.5071410652133355,0.2847380460587021,520,520
1to1.2,1:1,286.6,0.319960917274013,0.17479115868471234,1030,1022
1to1.3,1:1,420.1,0.3554500454059949,0.2602580057405405,844,840
1to1.4,1:1,363.7,0.24433527975014668,0.19687506940987268,925,924
1to1.5,1:1,462.7,0.35886600935645124,0.25139056841942065,884,878
2to1.1,2:1,681.1,0.6061381662941745,0.3983120031188601,801,778
2to1.2,2:1,803.2,0.4835814248520626,0.397626227929958,454,446
2to1.3,2:1,933.4,0.5254285990410592,0.39296597895917407,1013,1001
2to1.4,2:1,872.9,0.8609805313710164,0.6027416944409468,626,559
2to1.5,2:1,1005.4,0.7011577723983001,0.5601183169660956,469,466
Green.1,Green,279.5,0.09891655975710792,0.08427810127073154,720,713
Green.2,Green,316.0,0.12468016286872242,0.11603061264246471,727,638
Green.3,Green,297.8,0.07403366894721188,0.06002024644500989,967,967
Green.4,Green,285.6,0.042369106453475906,0.04608764575561031,813,809
Green.5,Green,311.7,0.13425950569795334,0.10745244743811148,1388,1385
white.1,White,198.5,0.1142178051964429,0.10116757143617366,1203,1157
white.2,White,126.2,0.10875587521306276,0.037574359456606754,653,567
white.3,White,120.0,0.11445391526015405,0.1027645278256817,532,519
white.4,White,131.6,0.2307026730882553,0.12383911926033465,1108,326
white.5,White,123.0,0.03650823704092867,0.008390177290540517,913,532
black.1,Black,125.4,0.0046292396251939325,0.001376744798775684,1571,1254
black.2,Black,98.0,0.03439470268943666,0.010814637693550526,986,635
black.3,Black,111.7,0.1543578296191222,0.08353966578340033,1465,279
black.4,Black,135.7,0.061341198749698074,0.015921615180135348,1634,1631
black.5,Black,78.3,0.03552921561415784,0.024027548610229224,1024,1019
